"timestamp","company","category","open","high","low","close","volume","previous","change.percent","result","vix.open","vix.high","vix.low","vix.close","vix.previous","vix.change.percent","vix.result","confirmed.total","confirmed.previous","confirmed.change.percent","confirmed.result","deaths.total","deaths.previous","deaths.change.percent","deaths.result"
2020-01-22,"alphabet","technology",1489.73,1500.58,1482.66,1484.17,1422946,1482.25,NA,"up",12.45,13.01,12.31,12.91,12.85,1.06198347107438,"up",555,NA,NA,NA,17,NA,NA,NA
2020-01-23,"alphabet","technology",1487.55,1493.5,1480.32,1484.69,1332562,1484.17,0.00129532804857485,"up",13.26,14.15,12.94,12.98,12.91,1.00466926070039,"up",654,555,NA,"up",18,17,NA,"up"
2020-01-24,"alphabet","technology",1492.82,1494.2,1463.18,1466.17,1489280,1484.69,0.000350364176610484,"down",12.75,15.98,12.62,14.56,12.98,1.00542215336948,"up",941,654,0.178378378378378,"up",26,18,0.0588235294117647,"up"
2020-01-27,"alphabet","technology",1431.54,1436.58,1419.5,1431.73,1706566,1466.17,-0.0124739844681381,"down",17.42,19.02,16.82,18.23,14.56,1.12172573189522,"up",2927,941,0.438837920489297,"up",82,26,0.444444444444444,"up"
2020-01-28,"alphabet","technology",1441.74,1454.8,1430.36,1450.5,1486586,1431.73,-0.0234897726730189,"up",16.94,18.03,15.69,16.28,18.23,1.25206043956044,"down",5578,2927,2.11052072263549,"up",131,82,2.15384615384615,"up"
2020-01-29,"alphabet","technology",1458.46,1464.14,1445.38,1456.7,1081964,1450.5,0.0131100137595776,"up",15.68,16.65,14.94,16.39,16.28,0.893033461327482,"up",6166,5578,0.90570550051247,"up",133,131,0.597560975609756,"up"
2020-01-30,"alphabet","technology",1438.1,1455.25,1435,1454.25,1355472,1456.7,0.00427438814202002,"down",17.82,18.39,15.3,15.49,16.39,1.00675675675676,"down",8234,6166,0.105414126927214,"up",171,133,0.0152671755725191,"up"
2020-01-31,"alphabet","technology",1467.86,1469.67,1427.06,1432.78,2191075,1454.25,-0.00168188370975496,"down",16.25,19.99,16.18,18.84,15.49,0.945088468578401,"up",9927,8234,0.335387609471294,"up",213,171,0.285714285714286,"up"
2020-02-03,"alphabet","technology",1461.65,1486.3,1456.61,1482.6,3608760,1432.78,-0.0147636238610968,"up",18.64,18.88,17.1,17.97,18.84,1.21626856036152,"down",19887,9927,0.205610881709983,"up",426,213,0.245614035087719,"up"
2020-02-04,"alphabet","technology",1454.49,1467.34,1422.03,1445.41,4793967,1482.6,0.0347715629754742,"down",16.45,16.46,15.63,16.05,17.97,0.953821656050955,"down",23898,19887,1.0033242671502,"up",492,426,1,"up"
2020-02-05,"alphabet","technology",1463.61,1464.58,1429.67,1446.05,1818793,1445.41,-0.0250843113449345,"up",16.29,16.32,15.02,15.15,16.05,0.893155258764608,"down",27642,23898,0.20168954593453,"up",564,492,0.154929577464789,"up"
2020-02-06,"alphabet","technology",1451.98,1481.56,1450.48,1475.97,1891079,1446.05,0.000442780941047781,"up",15.13,15.66,14.7,14.96,15.15,0.94392523364486,"down",30801,27642,0.15666582977655,"up",634,564,0.146341463414634,"up"
2020-02-07,"alphabet","technology",1467.38,1485.24,1465.41,1479.11,1418049,1475.97,0.0206908474810692,"up",15.07,16.16,14.81,15.47,14.96,0.987458745874587,"up",34397,30801,0.114282613414369,"up",719,634,0.124113475177305,"up"
2020-02-10,"alphabet","technology",1477.23,1508.88,1475.2,1508.66,1915072,1479.11,0.00212741451384505,"up",15.88,16.43,15.01,15.04,15.47,1.03409090909091,"down",42768,34397,0.116749456186487,"up",1013,719,0.134069400630915,"up"
2020-02-11,"alphabet","technology",1513.27,1529.88,1505.45,1510.06,1742647,1508.66,0.0199782301519158,"up",14.91,15.27,14.38,15.18,15.04,0.972204266321913,"up",44809,42768,0.243364246881996,"up",1113,1013,0.408901251738526,"up"
2020-02-12,"alphabet","technology",1515.86,1520.3,1508.67,1518.63,1552136,1510.06,0.00092797581960141,"up",14.86,14.88,13.73,13.74,15.18,1.0093085106383,"down",45228,44809,0.0477225963337074,"up",1118,1113,0.0987166831194472,"up"
2020-02-13,"alphabet","technology",1510,1525.95,1504,1513.39,1145658,1518.63,0.00567527118127767,"down",14.43,15.44,14,14.15,13.74,0.905138339920949,"up",60376,45228,0.00935080006248745,"up",1371,1118,0.00449236298292902,"up"
2020-02-14,"alphabet","technology",1514.53,1520.05,1505.55,1518.73,1159857,1513.39,-0.00345047839170832,"up",14.12,14.54,13.38,13.68,14.15,1.02983988355167,"down",66894,60376,0.334925267533386,"up",1523,1371,0.226296958855098,"up"
2020-02-18,"alphabet","technology",1514.34,1530.56,1511.01,1519.44,1284011,1518.73,0.00352850223670033,"up",14.98,15.49,14.53,14.83,13.68,0.96678445229682,"up",75146,66894,0.107956804028091,"up",2007,1523,0.110867979576951,"up"
