"timestamp","company","category","open","high","low","close","volume","previous","previous.rate","vix.open","vix.high","vix.low","vix.close","vix.previous","vix.previous.rate"
2020-01-02,"darden","hospitality",109.8,112.26,109.39,112.26,2745403,109.01,1.00045888399413,13.46,13.72,12.42,12.47,NA,NA
2020-01-03,"darden","hospitality",111.56,112.515,110.88,112.38,1371309,112.26,1.02981377855243,15.01,16.2,13.13,14.02,12.47,NA
2020-01-06,"darden","hospitality",112.12,113.15,111.63,113.12,1595575,112.38,1.00106894708712,15.45,16.39,13.54,13.85,14.02,1.1242983159583
2020-01-07,"darden","hospitality",112.21,113.48,111.73,112.15,1901778,113.12,1.00658480156611,13.84,14.46,13.39,13.79,13.85,0.987874465049929
2020-01-08,"darden","hospitality",112.25,114.07,111.82,113.85,1675550,112.15,0.991425035360679,15.16,15.24,12.83,13.45,13.79,0.995667870036101
2020-01-09,"darden","hospitality",113.42,115.5,112.65,114.39,1906729,113.85,1.01515827017387,12.95,13.24,12.53,12.54,13.45,0.975344452501813
2020-01-10,"darden","hospitality",114.58,114.83,113.56,114.55,1146069,114.39,1.00474308300395,12.42,12.87,12.09,12.56,12.54,0.932342007434944
2020-01-13,"darden","hospitality",114.55,114.89,113.05,113.25,1517358,114.55,1.00139872366466,12.84,13.09,12.32,12.32,12.56,1.00159489633174
2020-01-14,"darden","hospitality",112.84,112.84,111.66,112.21,2080711,113.25,0.988651243998254,12.72,13.82,12.05,12.39,12.32,0.980891719745223
2020-01-15,"darden","hospitality",112.21,112.64,111.25,111.29,1511297,112.21,0.990816777041943,12.79,12.83,11.95,12.42,12.39,1.00568181818182
2020-01-16,"darden","hospitality",111.12,113.85,110.731,113.01,2681664,111.29,0.991801087247126,12.2,12.42,11.78,12.32,12.42,1.00242130750605
2020-01-17,"darden","hospitality",113.28,113.75,112.96,113.52,1050185,113.01,1.01545511726121,12.21,12.48,11.75,12.1,12.32,0.99194847020934
2020-01-21,"darden","hospitality",113.11,114.69,113.01,114.55,1502803,113.52,1.00451287496682,13.23,13.33,12.32,12.85,12.1,0.982142857142857
2020-01-22,"darden","hospitality",114.82,115.45,114.635,114.98,1422997,114.55,1.00907329105004,12.45,13.01,12.31,12.91,12.85,1.06198347107438
2020-01-23,"darden","hospitality",114.95,117.72,114.7,117.62,1525137,114.98,1.00375381929289,13.26,14.15,12.94,12.98,12.91,1.00466926070039
2020-01-24,"darden","hospitality",117.75,117.77,116.56,117.09,1080163,117.62,1.02296051487215,12.75,15.98,12.62,14.56,12.98,1.00542215336948
2020-01-27,"darden","hospitality",115.9,116.99,115.8839,116.38,1133454,117.09,0.995493963611631,17.42,19.02,16.82,18.23,14.56,1.12172573189522
2020-01-28,"darden","hospitality",116.84,117.87,116.63,117.45,1391838,116.38,0.99393628832522,16.94,18.03,15.69,16.28,18.23,1.25206043956044
2020-01-29,"darden","hospitality",117.81,119.59,116.44,119.21,1124650,117.45,1.00919401959099,15.68,16.65,14.94,16.39,16.28,0.893033461327482
2020-01-30,"darden","hospitality",118.47,118.57,116.33,118.21,1336146,119.21,1.01498510004257,17.82,18.39,15.3,15.49,16.39,1.00675675675676
2020-01-31,"darden","hospitality",118.3,118.485,115.83,116.43,1081682,118.21,0.991611441993121,16.25,19.99,16.18,18.84,15.49,0.945088468578401
2020-02-03,"darden","hospitality",117.13,117.13,114.88,114.92,1343574,116.43,0.984942052279841,18.64,18.88,17.1,17.97,18.84,1.21626856036152
2020-02-04,"darden","hospitality",115.89,116.74,115.55,115.56,1511709,114.92,0.987030833977497,16.45,16.46,15.63,16.05,17.97,0.953821656050955
2020-02-05,"darden","hospitality",115.91,117.63,115.55,117.48,1700832,115.56,1.00556909154194,16.29,16.32,15.02,15.15,16.05,0.893155258764608
2020-02-06,"darden","hospitality",117.98,121.8,117.86,121.5,2089348,117.48,1.01661474558671,15.13,15.66,14.7,14.96,15.15,0.94392523364486
2020-02-07,"darden","hospitality",121.5,121.95,120.21,120.71,1555404,121.5,1.03421859039837,15.07,16.16,14.81,15.47,14.96,0.987458745874587
2020-02-10,"darden","hospitality",120.62,121.9699,120.24,121.79,979735,120.71,0.993497942386831,15.88,16.43,15.01,15.04,15.47,1.03409090909091
2020-02-11,"darden","hospitality",121.89,122.42,120.67,122.23,1565050,121.79,1.00894706320934,14.91,15.27,14.38,15.18,15.04,0.972204266321913
2020-02-12,"darden","hospitality",122.65,124.01,122.24,122.45,1150396,122.23,1.00361277608999,14.86,14.88,13.73,13.74,15.18,1.0093085106383
2020-02-13,"darden","hospitality",122.12,122.43,121.27,122.27,1081069,122.45,1.00179988546183,14.43,15.44,14,14.15,13.74,0.905138339920949
2020-02-14,"darden","hospitality",122.48,122.63,121.33,121.71,736888,122.27,0.998530012249898,14.12,14.54,13.38,13.68,14.15,1.02983988355167
2020-02-18,"darden","hospitality",121.16,121.41,119.01,120.49,1062835,121.71,0.995419972192688,14.98,15.49,14.53,14.83,13.68,0.96678445229682
2020-02-19,"darden","hospitality",120.81,121.22,119.96,120.68,905259,120.49,0.989976172869937,14.66,14.74,14.21,14.38,14.83,1.08406432748538
2020-02-20,"darden","hospitality",120.4,121,119.42,120.68,757396,120.68,1.00157689434808,14.54,17.21,14.49,15.56,14.38,0.969656102494943
2020-02-21,"darden","hospitality",119.98,121.39,119.96,121.1,1372213,120.68,1,17.33,18.21,16.19,17.08,15.56,1.08205841446453
2020-02-24,"darden","hospitality",119.09,119.77,117.34,117.89,1177462,121.1,1.00348027842227,22.25,26.35,22,25.03,17.08,1.09768637532134
2020-02-25,"darden","hospitality",118.44,118.44,111.6607,111.75,1481062,117.89,0.973492981007432,23.28,30.25,22.62,27.85,25.03,1.46545667447307
2020-02-26,"darden","hospitality",111.9,112.51,107.04,107.07,2085191,111.75,0.947917550258716,26.63,29.57,24.76,27.56,27.85,1.11266480223732
2020-02-27,"darden","hospitality",104.25,104.51,99.3,99.36,3080542,107.07,0.958120805369127,32.14,39.31,29.37,39.16,27.56,0.989587073608618
2020-02-28,"darden","hospitality",96.52,100.76,94.23,97.5,2592983,99.36,0.927991033903054,42.02,49.48,39.37,40.11,39.16,1.42089985486212
2020-03-02,"darden","hospitality",97.75,98.87,95.56,98.8,2405305,97.5,0.981280193236715,38.54,40.41,31.5,33.42,40.11,1.02425944841675
2020-03-03,"darden","hospitality",98.47,100.4,94.46,95.31,1693788,98.8,1.01333333333333,33.65,41.06,24.93,36.82,33.42,0.833208676140613
2020-03-04,"darden","hospitality",96.55,96.94,93.43,95.06,1789170,95.31,0.964676113360324,34.44,35.58,30.3,31.99,36.82,1.1017354877319
2020-03-05,"darden","hospitality",94.41,94.41,87.38,87.95,2700378,95.06,0.997376980379813,33.61,42.84,33.54,39.62,31.99,0.868821292775665
2020-03-06,"darden","hospitality",84.47,90.51,83.79,88.15,2449188,87.95,0.925205133599832,48.93,54.39,40.84,41.94,39.62,1.23851203501094
2020-03-09,"darden","hospitality",82.07,82.63,77.23,77.43,2492059,88.15,1.00227401932916,41.94,62.12,41.94,54.46,41.94,1.05855628470469
2020-03-10,"darden","hospitality",80.86,82.69,76.365,82.6,2301304,77.43,0.87838910947249,49.68,55.66,43.56,47.3,54.46,1.29852169766333
2020-03-11,"darden","hospitality",79.05,79.29,69.7,70.21,3752859,82.6,1.06676998579362,52.24,55.82,49.98,53.9,47.3,0.86852735952993
2020-03-12,"darden","hospitality",62.97,67.35,57.27,59.17,4078307,70.21,0.85,61.46,76.83,59.91,75.47,53.9,1.13953488372093
2020-03-13,"darden","hospitality",63.96,65.4,59.29,65.32,4062297,59.17,0.842757441959835,65.07,77.57,55.17,57.83,75.47,1.40018552875696
2020-03-16,"darden","hospitality",58.24,58.36,46.17,49.21,4488104,65.32,1.10393780632077,57.83,83.56,57.83,82.69,57.83,0.766264740956672
2020-03-17,"darden","hospitality",49.9,50.16,35.94,41.93,9898043,49.21,0.753368034292713,82.69,84.83,70.37,75.91,82.69,1.42988068476569
2020-03-18,"darden","hospitality",37.17,39.07,26.15,34.16,8744524,41.93,0.852062588904694,69.37,85.47,69.37,76.45,75.91,0.918007014149232
2020-03-19,"darden","hospitality",33.73,46.54,30.5,42.42,10986124,34.16,0.814691151919866,80.62,84.26,68.57,72,76.45,1.00711368726123
2020-03-20,"darden","hospitality",45.5,45.82,37.055,39,8877835,42.42,1.24180327868852,67.86,69.51,57.42,66.04,72,0.941792020928712
2020-03-23,"darden","hospitality",39.88,42.24,37.15,41.03,7796930,39,0.919377652050919,74.08,76.74,60.46,61.59,66.04,0.917222222222222
2020-03-24,"darden","hospitality",45.13,55.2,45,53.89,8697065,41.03,1.05205128205128,58.76,61.88,36.24,61.67,61.59,0.932616596002423
2020-03-25,"darden","hospitality",56.66,67.715,54,58.45,7945229,53.89,1.3134291981477,61.44,68.86,58.03,63.95,61.67,1.00129891216107
2020-03-26,"darden","hospitality",58.48,62.44,56.3,60.56,4741733,58.45,1.08461681202449,65.67,67.06,57.66,61,63.95,1.03697097454192
2020-03-27,"darden","hospitality",56.57,57.7099,52.5,54.66,6014510,60.56,1.03609923011121,64.95,69.1,61.8,65.54,61,0.953870211102424
2020-03-30,"darden","hospitality",53.04,57.84,51.02,56.85,4061484,54.66,0.902575957727873,66.3,67.69,56.6,57.08,65.54,1.0744262295082
2020-03-31,"darden","hospitality",56.9,59,53.11,54.46,6167809,56.85,1.04006586169045,56.69,58.75,50.88,53.54,57.08,0.870918523039365
2020-04-01,"darden","hospitality",50.3,51.15,45,46.02,6586709,54.46,0.957959542656113,57.38,60.59,52.76,57.06,53.54,0.937981779957954
2020-04-02,"darden","hospitality",46.28,49.65,43.11,44.31,4706046,46.02,0.845023870730812,54.46,57.24,50.45,50.91,57.06,1.06574523720583
2020-04-03,"darden","hospitality",44.24,46.39,43.18,45.48,3639658,44.31,0.962842242503259,51.11,52.29,46.74,46.8,50.91,0.892218717139853
2020-04-06,"darden","hospitality",49.2,55.88,49,52.4,4853078,45.48,1.02640487474611,44.17,45.73,43.45,45.24,46.8,0.919269298762522
2020-04-07,"darden","hospitality",57.64,63.34,56.6,58.96,6522092,52.4,1.15215479331574,44.83,47.51,43.51,46.7,45.24,0.966666666666667
2020-04-08,"darden","hospitality",62.16,65.35,59.38,63.57,4049670,58.96,1.12519083969466,45.9,47.28,42.53,43.35,46.7,1.03227232537577
2020-04-09,"darden","hospitality",67.97,69.17,62.13,64.34,4871901,63.57,1.07818860244233,43,45.73,41.39,41.67,43.35,0.928265524625268
2020-04-13,"darden","hospitality",65,65.19,59.801,60.89,2190932,64.34,1.01211263174453,44.6,45.04,41.17,41.17,41.67,0.961245674740484
2020-04-14,"darden","hospitality",63.37,64.7,60.72,61.15,3107453,60.89,0.946378613615169,40.24,40.57,37.31,37.76,41.17,0.988000959923206
2020-04-15,"darden","hospitality",57.86,59.67,57.07,58.79,3733698,61.15,1.00426999507308,42.57,43.23,40.05,40.84,37.76,0.917172698566918
2020-04-16,"darden","hospitality",58.69,59.99,56.51,57.98,2972211,58.79,0.961406377759608,41.92,43.02,39.87,40.11,40.84,1.08156779661017
2020-04-17,"darden","hospitality",63.78,65.43,60.34,63.35,4036615,57.98,0.986222146623575,39.5,40.26,37.63,38.15,40.11,0.982125367286973
2020-04-20,"darden","hospitality",61.34,64.55,61.01,61.79,2376563,63.35,1.09261814418765,40.68,43.83,39.88,43.83,38.15,0.951134380453752
2020-04-21,"darden","hospitality",62.6,63.74,61.32,63.32,7065019,61.79,0.975374901341752,44.28,47.77,43.77,45.41,43.83,1.14888597640891
2020-04-22,"darden","hospitality",64.98,69.46,64.97,68.3,6672416,63.32,1.02476128823434,44.91,45.07,41.41,41.98,45.41,1.03604836869724
2020-04-23,"darden","hospitality",69.48,69.5,66.3,66.87,4051522,68.3,1.07864813644978,41.3,42.47,39.06,41.38,41.98,0.924465976657124
2020-04-24,"darden","hospitality",67.69,69.3,65.75,68.82,3508573,66.87,0.979062957540264,38.8,40.17,35.6,35.93,41.38,0.985707479752263
2020-04-27,"darden","hospitality",70,72.61,68.69,72.4,3280970,68.82,1.02916105877075,36.29,36.44,32.51,33.29,35.93,0.86829386176897
2020-04-28,"darden","hospitality",76.41,77.11,71.22,74.8,4122318,72.4,1.05201976169718,33.21,35.39,30.54,33.57,33.29,0.926523796270526
2020-04-29,"darden","hospitality",78.12,81.1773,76.97,78.21,3907259,74.8,1.03314917127072,32.48,33.19,30.71,31.23,33.57,1.00841093421448
2020-04-30,"darden","hospitality",76.94,77.5385,72.79,73.79,3296278,78.21,1.04558823529412,30.99,35.94,30.93,34.15,31.23,0.93029490616622
2020-05-01,"darden","hospitality",70.4,72.3138,68.08,69.85,3465773,73.79,0.943485487789285,38.17,39.57,36.59,37.19,34.15,1.09349983989753
2020-05-04,"darden","hospitality",67.14,70.7,66.02,70.62,2041795,69.85,0.946605231061119,39.13,40.32,35.53,35.97,37.19,1.08901903367496
2020-05-05,"darden","hospitality",72.27,72.63,68.6,68.99,2524104,70.62,1.01102362204724,34.82,36.22,31.95,33.61,35.97,0.967195482656628
2020-05-06,"darden","hospitality",69.68,71.23,68.2,68.21,2552625,68.99,0.976918719909374,32.69,35.69,31.68,34.12,33.61,0.934389769252155
2020-05-07,"darden","hospitality",69.24,72.0988,68.76,70.53,2304457,68.21,0.988694013625163,32.12,32.28,30.37,31.44,34.12,1.01517405534067
2020-05-08,"darden","hospitality",72.02,74.88,71.75,74.72,2995564,70.53,1.03401260812198,30.14,30.39,27.89,27.98,31.44,0.921453692848769
2020-05-11,"darden","hospitality",73.29,75.13,72.49,73.93,2728626,74.72,1.05940734439246,28.46,31.46,26.97,27.57,27.98,0.889949109414758
2020-05-12,"darden","hospitality",74.56,75.13,68.87,70.32,3603170,73.93,0.989427194860814,28.47,33.04,26,33.04,27.57,0.985346676197284
2020-05-13,"darden","hospitality",69.57,69.6499,63.42,65.88,3964767,70.32,0.951170025699986,32.74,37.42,30.77,35.28,33.04,1.19840406238665
2020-05-14,"darden","hospitality",63,67.23,61.21,66.66,3676684,65.88,0.936860068259386,35.16,39.28,32.33,32.61,35.28,1.06779661016949
2020-05-15,"darden","hospitality",66,70.11,65.35,69.61,2527850,66.66,1.01183970856102,32.5,35.13,31.04,31.89,32.61,0.924319727891156
2020-05-18,"darden","hospitality",74.54,76.56,74.35,75.45,2982051,69.61,1.04425442544254,30.71,31.08,28.35,29.3,31.89,0.977920883164673
2020-05-19,"darden","hospitality",75,78,72.62,75.82,3251344,75.45,1.08389599195518,28.73,30.74,28.37,30.53,29.3,0.918783317654437
2020-05-20,"darden","hospitality",78,78.93,76.35,78.32,3941189,75.82,1.00490390987409,29.52,29.83,27.83,27.99,30.53,1.0419795221843
2020-05-21,"darden","hospitality",78.01,78.24,75.585,77.22,2855446,78.32,1.03297283038776,28.97,30.2,27.67,29.53,27.99,0.916803144448084
2020-05-22,"darden","hospitality",77.69,77.98,75.135,75.63,2551916,77.22,0.985955056179775,31.36,31.55,28.03,28.16,29.53,1.05501964987496
2020-05-26,"darden","hospitality",79.71,80.79,78.01,78.47,3050399,75.63,0.979409479409479,27.72,28.58,27.18,28.01,28.16,0.953606501862513
2020-05-27,"darden","hospitality",81.45,81.7,78.27,81.56,3073842,78.47,1.0375512362819,27.62,30.53,25.92,27.62,28.01,0.994673295454546
2020-05-28,"darden","hospitality",82.4,82.4,78.75,79.5,2835123,81.56,1.03937810628266,27.82,29.89,27.43,28.59,27.62,0.986076401285255
2020-05-29,"darden","hospitality",78.07,79.4662,75.87,76.86,4400271,79.5,0.974742520843551,29.3,30.16,27.29,27.51,28.59,1.03511947863867
2020-06-01,"darden","hospitality",77,79.35,76.86,78.31,2337085,76.86,0.966792452830189,28.94,30.6,28.11,28.23,27.51,0.962224554039874
2020-06-02,"darden","hospitality",78.95,79.56,77.14,78.12,1995315,78.31,1.01886546968514,28.4,28.52,26.66,26.84,28.23,1.02617230098146
