"timestamp","open","high","low","close","volume","company","previous","vix.previous.rate"
2020-01-02,13.46,13.72,12.42,12.47,0,"vix",NA,NA
2020-01-03,15.01,16.2,13.13,14.02,0,"vix",12.47,NA
2020-01-06,15.45,16.39,13.54,13.85,0,"vix",14.02,1.1242983159583
2020-01-07,13.84,14.46,13.39,13.79,0,"vix",13.85,0.987874465049929
2020-01-08,15.16,15.24,12.83,13.45,0,"vix",13.79,0.995667870036101
2020-01-09,12.95,13.24,12.53,12.54,0,"vix",13.45,0.975344452501813
2020-01-10,12.42,12.87,12.09,12.56,0,"vix",12.54,0.932342007434944
2020-01-13,12.84,13.09,12.32,12.32,0,"vix",12.56,1.00159489633174
2020-01-14,12.72,13.82,12.05,12.39,0,"vix",12.32,0.980891719745223
2020-01-15,12.79,12.83,11.95,12.42,0,"vix",12.39,1.00568181818182
2020-01-16,12.2,12.42,11.78,12.32,0,"vix",12.42,1.00242130750605
2020-01-17,12.21,12.48,11.75,12.1,0,"vix",12.32,0.99194847020934
2020-01-21,13.23,13.33,12.32,12.85,0,"vix",12.1,0.982142857142857
2020-01-22,12.45,13.01,12.31,12.91,0,"vix",12.85,1.06198347107438
2020-01-23,13.26,14.15,12.94,12.98,0,"vix",12.91,1.00466926070039
2020-01-24,12.75,15.98,12.62,14.56,0,"vix",12.98,1.00542215336948
2020-01-27,17.42,19.02,16.82,18.23,0,"vix",14.56,1.12172573189522
2020-01-28,16.94,18.03,15.69,16.28,0,"vix",18.23,1.25206043956044
2020-01-29,15.68,16.65,14.94,16.39,0,"vix",16.28,0.893033461327482
2020-01-30,17.82,18.39,15.3,15.49,0,"vix",16.39,1.00675675675676
2020-01-31,16.25,19.99,16.18,18.84,0,"vix",15.49,0.945088468578401
2020-02-03,18.64,18.88,17.1,17.97,0,"vix",18.84,1.21626856036152
2020-02-04,16.45,16.46,15.63,16.05,0,"vix",17.97,0.953821656050955
2020-02-05,16.29,16.32,15.02,15.15,0,"vix",16.05,0.893155258764608
2020-02-06,15.13,15.66,14.7,14.96,0,"vix",15.15,0.94392523364486
2020-02-07,15.07,16.16,14.81,15.47,0,"vix",14.96,0.987458745874587
2020-02-10,15.88,16.43,15.01,15.04,0,"vix",15.47,1.03409090909091
2020-02-11,14.91,15.27,14.38,15.18,0,"vix",15.04,0.972204266321913
2020-02-12,14.86,14.88,13.73,13.74,0,"vix",15.18,1.0093085106383
